Episode,Plan,Why Actions?,Actions,Why Not?,Tree
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']",[[]],"['shoot(learner,attacker1)']","[[[], ['-holds(in_range(learner,attacker1),0)']]]","belief0 : 
['-occurs(shoot(learner,attacker1),0)']
None
belief1 : 
['-holds(in_range(learner,attacker1),0)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[], [['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3]]","['shoot(learner,attacker1)', 'shoot(learner,attacker2)']","[[[], ['-holds(in_range(learner,attacker1),0)']], [[], ['-holds(in_range(learner,attacker2),1)']]]","belief0 : 
['-occurs(shoot(learner,attacker2),1)']
None
belief1 : 
['-holds(in_range(learner,attacker2),1)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
0,"['occurs(move(learner,8,14),1)', 'occurs(move(learner,7,14),2)', 'occurs(move(learner,6,14),3)']","[[], [['holds(in(learner,9,14),1),-next_to(6,14,9,14)'], 'holds(in(learner,6,14),3)', 3], [['holds(in(learner,8,14),2),-next_to(6,14,8,14)'], 'holds(in(learner,6,14),3)', 3]]","['shoot(learner,attacker1)', 'shoot(learner,attacker2)', 'move(learner,5,14)']","[[[], ['-holds(in_range(learner,attacker1),0)']], [[], ['-holds(in_range(learner,attacker2),1)']], [[], ['holds(in(learner,8,14),2),-next_to(5,14,8,14)']]]","belief0 : 
['-occurs(move(learner,5,14),2)']
None
"
0,"['occurs(move(learner,5,14),4)', 'occurs(move(learner,4,14),5)']",[[]],"['shoot(learner,attacker2)']","[[[], []]]","belief0 : 
['-occurs(shoot(learner,attacker2),0)']
None
"
0,"['occurs(move(learner,5,14),4)', 'occurs(move(learner,4,14),5)']","[[], [['holds(in(learner,6,14),4),-next_to(4,14,6,14)'], 'holds(in(learner,4,14),5)', 5]]","['shoot(learner,attacker2)', 'move(learner,3,6)']","[[[], []], [[], []]]","belief0 : 
['-occurs(move(learner,3,6),1)']
None
"
0,"['occurs(shoot(learner,attacker1),6)']",[[]],"['move(learner,19,15)']","[[[], []]]","belief0 : 
['-occurs(move(learner,19,15),0)']
None
"
0,"['occurs(shoot(learner,attacker1),7)']",[[]],"['rotate(learner,south_west2)']",[[[]]],"belief0 : 
['-occurs(rotate(learner,south_west2),0)']
None
"
0,"['occurs(shoot(learner,attacker2),8)']",[[]],"['shoot(learner,attacker2)']","[[[], []]]","belief0 : 
['-occurs(shoot(learner,attacker2),0)']
None
"
0,"['occurs(move(learner,11,14),1)', 'occurs(move(learner,12,14),2)', 'occurs(move(learner,13,14),3)']","[[['holds(in(learner,10,14),1),-next_to(13,14,10,14)'], 'holds(in(learner,13,14),3)', 3]]","['move(learner,19,0)']","[[[], ['holds(in(learner,10,14),1),-next_to(19,0,10,14)']]]","belief0 : 
['-occurs(move(learner,19,0),1)']
None
"
0,"['occurs(move(learner,11,14),1)', 'occurs(move(learner,12,14),2)', 'occurs(move(learner,13,14),3)']","[[['holds(in(learner,10,14),1),-next_to(13,14,10,14)'], 'holds(in(learner,13,14),3)', 3], [['holds(in(learner,11,14),2),-next_to(13,14,11,14)'], 'holds(in(learner,13,14),3)', 3]]","['move(learner,19,0)', 'shoot(learner,attacker3)']","[[[], ['holds(in(learner,10,14),1),-next_to(19,0,10,14)']], [[], ['-holds(in_range(learner,attacker3),2)']]]","belief0 : 
['-occurs(shoot(learner,attacker3),2)']
None
belief1 : 
['-holds(in_range(learner,attacker3),2)']
[['-occurs(shoot(R,A),I)', '-holds(in_range(R,A),I)']]
"
